"Points:0","Points:1","Points:2"
0.40238,0.11531,0
0.40238,0.11531,0
0.40237,0.11533,0
0.40239,0.11532,0
0.40237,0.11534,0
0.40239,0.11534,0
0.40236,0.11535,0
0.4024,0.11535,0
0.40235,0.11537,0
0.4024,0.11537,0
0.40235,0.11538,0
0.40241,0.11538,0
0.40234,0.1154,0
0.40241,0.11539,0
0.40233,0.11541,0
0.40242,0.11541,0
0.40232,0.11542,0
0.40242,0.11542,0
0.40232,0.11544,0
0.40243,0.11543,0
0.40231,0.11545,0
0.40243,0.11545,0
0.4023,0.11547,0
0.40244,0.11546,0
0.40229,0.11548,0
0.40244,0.11547,0
0.40229,0.1155,0
0.40245,0.11549,0
0.40228,0.11551,0
0.40245,0.1155,0
0.40227,0.11552,0
0.40246,0.11552,0
0.40226,0.11554,0
0.40246,0.11553,0
0.40226,0.11555,0
0.40247,0.11554,0
0.40225,0.11557,0
0.40247,0.11556,0
0.40224,0.11558,0
0.40248,0.11557,0
0.40223,0.1156,0
0.40248,0.11558,0
0.40223,0.11561,0
0.40249,0.1156,0
0.40222,0.11562,0
0.40249,0.11561,0
0.40221,0.11564,0
0.4025,0.11562,0
0.4022,0.11565,0
0.4025,0.11564,0
0.4022,0.11567,0
0.40251,0.11565,0
0.40219,0.11568,0
0.40251,0.11567,0
0.40218,0.11569,0
0.40252,0.11568,0
0.40217,0.11571,0
0.40252,0.11569,0
0.40217,0.11572,0
0.40253,0.11571,0
0.40216,0.11574,0
0.40253,0.11572,0
0.40215,0.11575,0
0.40254,0.11573,0
0.40214,0.11577,0
0.40254,0.11575,0
0.40214,0.11578,0
0.40255,0.11576,0
0.40213,0.11579,0
0.40255,0.11577,0
0.40212,0.11581,0
0.40256,0.11579,0
0.40211,0.11582,0
0.40256,0.1158,0
0.40211,0.11584,0
0.40257,0.11582,0
0.4021,0.11585,0
0.40257,0.11583,0
0.40209,0.11586,0
0.40258,0.11584,0
0.40208,0.11588,0
0.40258,0.11586,0
0.40208,0.11589,0
0.40259,0.11587,0
0.40207,0.11591,0
0.40259,0.11588,0
0.40206,0.11592,0
0.4026,0.1159,0
0.40205,0.11594,0
0.4026,0.11591,0
0.40205,0.11595,0
0.40261,0.11592,0
0.40204,0.11596,0
0.40261,0.11594,0
0.40203,0.11598,0
0.40262,0.11595,0
0.40202,0.11599,0
0.40262,0.11597,0
0.40202,0.11601,0
0.40263,0.11598,0
0.40201,0.11602,0
0.40263,0.11599,0
0.402,0.11604,0
0.40264,0.11601,0
0.40199,0.11605,0
0.40264,0.11602,0
0.40199,0.11606,0
0.40265,0.11603,0
0.40198,0.11608,0
0.40265,0.11605,0
0.40197,0.11609,0
0.40266,0.11606,0
0.40196,0.11611,0
0.40266,0.11608,0
0.40196,0.11612,0
0.40267,0.11609,0
0.40195,0.11613,0
0.40267,0.1161,0
